feature_set,model,mae,rmse,r2,correlation,direction_accuracy,actual_mean,prediction_mean
EURUSD_only,zero,0.00014247319856435954,0.00022460050669493195,-0.0418338390339299,,0.36129032258064514,4.500651262894027e-05,0.0
EURUSD_only,ridge,0.00015092147107505138,0.00023045664276505752,-0.09687075592114036,-0.05763031550363005,0.3096774193548387,4.500651262894027e-05,-4.653832345932257e-06
EURUSD_only,lasso,0.00014369224210147933,0.00022358127488207545,-0.03239965887935847,-3.8145939796632157e-17,0.3870967741935484,4.500651262894027e-05,5.3986213786734155e-06
EURUSD_only,xgboost,0.0001437133160220295,0.00022356476061277333,-0.032247153296318665,,0.3870967741935484,4.500651262894027e-05,5.491948286362458e-06
Cross_Market,zero,0.00014247319856435954,0.00022460050669493195,-0.0418338390339299,,0.36129032258064514,4.500651262894027e-05,0.0
Cross_Market,ridge,0.00015835435025395362,0.00023595564273508343,-0.14984084394942343,0.164687603790903,0.2903225806451613,4.500651262894027e-05,-4.519488715252354e-05
Cross_Market,lasso,0.00014369224210147933,0.00022358127488207545,-0.03239965887935847,-3.8145939796632157e-17,0.3870967741935484,4.500651262894027e-05,5.3986213786734155e-06
Cross_Market,xgboost,0.0001437133160220295,0.00022356476061277333,-0.032247153296318665,,0.3870967741935484,4.500651262894027e-05,5.491948286362458e-06
